"IDكود العميل","اسم العميل","رقم الشاسية","نوع الالة","اسم المهندس","نوع العقد","عداد تسليم اسود","عداد تسليم الوان","تاريخ انتهاء العقد","العنوان","التليفون","ملاحظات","Field1"
"1996","احمد رجب الصافى","E204RB63450","MPC2003","شعبان","زيارة","","",""," شوتس - محطة ترام صفر","01286900071","",""
"430","مهندسة / جيهان","E205R162520","MPC2003","مجدى","زيارة","","","","سموحة","1118999399","",""
"692","شركة مراى الهندسية","E205R961550","MPC3002","اسامة","زيارة","","","","سيدى بشر - دوران جيهان","1225992208","تبع م / رضا القدس",""
"2203","شركة A M A جروب","E205RA62564","MPC2003","السيد","زيارة","","","","بجوار باب 14 الميناء","01017160124","ا / ايمن",""
"46","مكتبة ريحانة الجنة","E214R260011 ش","mpc2503","","ارشيف","","","10/21/2024 12:00:00 AM"," شارع 20 بجوار صيدلية الاسرة","1100043935","01208181546",""
"2182","شركة نوار التجارية","E216J300136","MP2503","شعبان","ضمان","115538","45699","1/6/2027 12:00:00 AM","ش / البرت الاول - سموحة","01014650075","سارة خالد",""
"","مصنع التوحيد","E233C530086","MPC6502","مجدى","صيانة","","","1/31/2027 12:00:00 AM","كفر الدوار","1279588593","",""
"48","مصنع التوحيد","E234C430210","mpc8002","مجدى","صيانة","","","1/31/2027 12:00:00 AM","كفر الدوار","1279588593","01204344446",""
"712","جمال الزقازيق","E235C430138","MPC6502","رحيم","زيارة","","","","الزقازيق","","",""
"53","حمادة الريحان","E235C730036","MPC 6502","رحيم","زيارة","1634006","524955","","بجوار الشركة","128315269","",""
"633","مكتبة المدينة المنورة","E235CA30007","MPC6502","","زيارة","842911","719313","6/24/2024 12:00:00 AM","ش / 20 شارع  مجمع المدارس","1150091688","ا/ مصطفى",""
"807","مكتبة الملكة والامل","E235CA30018","MPC6502","","زيارة","","","","الازريطة","1222362229","",""
"2208","مطبعة خميس العجمى","E235CC30103","Pro5100","مجدى","زيارة","417791","248910","","","","",""
"49","مدرسة الضوي 2","E236C130003","MP6502","ايمن","صيانة","","","10/1/2023 12:00:00 AM","العجمى الهانوفيل","","",""
"50","مكتبة عجمستا","E236C230015","Mpc6502","","زيارة","","","","باكوس ش 20","1287408996","",""
"51","مطبعة الولاء","E244CA30154","MPc 8002","مجدى","زيارة","","","","الحضرة / بجوار قهوة حسان","1111190791","01221855250",""
"52","مصنع التوحيد","E245CA30071","mpc8002","مجدى","زيارة","","","","كفر الدوار","1279588593","01204344446",""
"386","مطبعة الولاء الجديدة","E253CA30129","Pro 5100","مجدى","زيارة","632198","273737","","الحضرة / بجوار قهوة حسان","1111190791","01221855250",""
"1836","معرض ايفرن هوم السجاد","E254C230016","pro5100","عادل","زيارة","","","","الدائري بجوار سنتر لامعي","1222287411","",""
"451","مطبعة الولاء الجديدة","E254C230016 ش","pro 5100","محمد","ارشيف","165152","674386","","الحضرة / بجوار قهوة حسان","1111190791","01221855250",""
"680","مطبعة وليد الحضرة","E254CC30180","PRO5100","رحيم","زيارة","398267","2191960","","الحضرة","","",""
"666","محمد ارك جروب","E255C230064","MPC5100","مجدى","زيارة","","","","جليم ش / الازاعة","1223630185","",""
"774","اوفر برنت","E255C330029","Pro 5100","مجدى","زيارة","","","","كوبرى الناموس ش/ فرن ام وحيد","1032923159","01270182870",""
"534","هانى ارك جروب","E255C330155","Pro5100","مجدى","زيارة","","","","باكوس","1223630189","",""
"741","مطبعة محمد عطية","E256C130024","Pro 5100","مجدى","زيارة","","","","ش / صلاح الدين ابو سليمان","1221227917","",""
"683","هانى ارك جروب","E256C130024 ش","PRO5100","مجدى","زيارة","24114","251416","","باكوس","1223630189","",""
"763","ا / اكرم (عمارة التامينات)","E256C230024","Pro 5100","مجدى","زيارة","","","","محطة مصر / عمارة التامينات","1200304662","03/3956589",""
"1543"," مطبعة دريم ارت","E256C930046","MP5100","مجدى","زيارة","44588","127275","6/21/2025 12:00:00 AM","ش ايزيس","1207266803","مصطفى مرسي نيازى",""
"1506","كوبى ديزاين","E256C930053","MPC5100","مجدى","زيارة","174212","362302","","الفلكى الضمان (2000) نسخه","1222224997","ا/ محمود",""
"297","مدرسة الضوي 1","E263C830005","Pro5110","ايمن","صيانة","90562","553474","10/1/2023 12:00:00 AM","العجمى الهانوفيل","","",""
"715","ا / محمد ابراهيم (الفلكى)","E265C9200119","Pro 5100","رحيم","زيارة","","","","الفلكى","1010707071","01119259699",""
"848","مكتب طايل المحامى","E323M220058","MP2001","طارق","زيارة","","","","العصافرة","","",""
"152","تاون كلانيك","E323M320581","MP2001","مجدى","زيارة","35648","","3/30/2023 12:00:00 AM","محطة الرمل","1029096919","",""
"1349","شركة الشرق للاخشاب","E323M620071","MP2001","يوسف","زيارة","","","","طريق ام زغيب","1032553507","",""
"982","مدرسة الصالحية المسائية","E323MC20940","MP 2501","شعبان","زيارة","261261","","8/12/2024 12:00:00 AM","كوبرى الناموس","1226656938","01111996194",""
"1456","امينه  الميناء","E324M820408","MP2001","يحيي","زيارة","","","","","","",""
"473","مباحث التموين (شرق)","E325M720181","MP2501","مجدى","زيارة","191276","","","حي شرق -- ضمان (5000)الاف نسخة","","",""
"883","مكتبة ابداع","E325M820622","MP2001","شعبان","زيارة","123708","","6/10/2024 12:00:00 AM","نزلة  ابو سعدة","1280578474","ا / حمدى",""
"1279","شركة هيلا ( الدور السادس )","E327M520015","MP2501","شعبان","زيارة","","","","الزراعى - بجوار مستشفى الكلى ( الدور الارضى )","1271087776","م / خالد تبع البربرى",""
"488","مكتبة نور القمر","E333M320300","MP2501","شعبان","زيارة","","","","ابو قير","1200448301","ا / عصام",""
"1276","شركة هيلا ( الدور الرابع )","E333M820144","MP2501","شعبان","زيارة","","","","الزراعى - بجوار مستشفى الكلى ( الدور الارضى )","1271087776","م / خالد تبع البربرى",""
"416","ج م  الدراسات العليا","E333M821263","MP 2501","اسامة","زيارة","118770","","","جامعة دمنهور","","",""
"54","المدينة للمراة  (حسابات عامة)","E333M920248 ش","mp2051","","ارشيف","","","","سموحه","","",""
"56","كلية التمريض الجودة","E333M921515","mp2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"58","كلية الصيدلة","E333M921590","mp2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"59","كلية العلوم","E333M921687","mp2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"61","كلية الصيدلة (مشترايات)","E333M921688","mp2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"62","المدينة للمراة عيادات","E333M921741","mp2501","مجدى","زيارة","","","","سموحه","","",""
"524","كلية الزراعة (شئون طلبة)","E333MA21136","MP2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"456","شركة انترمنت","E333MA21150","MP2501","رضا","زيارة","47524","","12/24/2023 12:00:00 AM","العامرية / الناصرية -- الضمان (10000) نسخة","1220205250","",""
"67","كلية الصيدلة (امين الكلية)","E333MA21151","mp2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"68","كلية التمريض سكرتارية الوكلاء","E333MA21153","mp2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"577","كلية الاداب","E333MA21160","MP2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"69","كلية رياض الاطفال","E333MA21347","mp2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"548","كلية الزراعة","E333MA21374","MP2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"71","كلية الصيدلة  شئون الطلبة","E334M120651","mp2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"579","كلية الاداب","E334M121646","MP2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"526","كلية الزراعة (دراسات عليا)","E334M121961","MP2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"470"," كلية الصيدلة","E334M121969","MP2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"74","كلية العلوم شئون خربجيين","E334M121985","mp2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"75","كلية الصيدلة","E334M320234","mp2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"989","المدرسة الفرنسية المصرية","E334M420043","MP2501","شعبان","زيارة","","","","جليم ش / فيلا المحافظ","","تبع م / خالد البربرى",""
"77","كلية التمريض الحسابات","E334M420106","mp2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"78","كلية الصيدلة (شئون العاملين)","E334M420138","mp2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"1576","الإدارة التعليمية ببولكلى","E334M420503","MP2501","شعبان","زيارة","329389","","","بولكلى","01288665045","ا / محمد",""
"79"," كلية الصيدلة","E334M420903","mp2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"80","كلية التمريض","E334M420904","mp2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"81","كلية الصيدلة","E334M420915","mp2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"83","كلية رياض الاطفال","E334M421048","mp2501","اسامة","زيارة","","","","جامعة دمنهور","","",""
"84","كلية العلوم شئون ادارية","E334M520554","mp2501","اسامة","زيارة","","","","","","",""
"1273","شركة هيلا ( الدور الرابع )","E334M720510","MP2501","شعبان","زيارة","","","","الزراعى - بجوار مستشفى الكلى","1271087776","م / خالد تبع البربرى",""
"1246","شركة هيلا","E334M820643","MP2501","طارق","زيارة","54177","","","الزراعى - بجوار مستشفى الكلى ( الدور الارضى )","1271087776","م / خالد تبع البربرى",""
"1267","شركة هيلا ( المخازن الارضى )","E334MB21219","MP2501","شعبان","زيارة","","","","الزراعى - بجوار مستشفى الكلى ( الدور الارضى )","1271087776","م / خالد تبع البربرى",""
"","معهد البحوث الاجهزة العلمية","E334MC21160","MP2001","ايمن","زيارة","","","","","","",""
"1186","احمد جيمى المدرية القديمة","E335MB21289ش","MP2501","","ارشيف","457148","","","مدرية الامن القديمة","01553588828","",""
"1033","مكتبة جيهان","E336M520793","MP2501","رضا","زيارة","","","","المندرة","1010661664","ا / حاتم",""
"364","مكتبة عم وليد","E336MA20977","MP2501","اسامة","زيارة","48548","","10/13/2022 12:00:00 AM","الراس السوداء  ش / الجراش","1226775702","النسر --- الحضرة الجديدة /  حي المهندسين",""
"1269","شركة هيلا ( الدور الاول HR )","E336MB20771","MP2501","شعبان","زيارة","","","","الزراعى - بجوار مستشفى الكلى ( الدور الارضى )","1271087776","م / خالد تبع البربرى",""
"1282","شركة هيلا HR","E336MB20940","MP2501","يوسف","زيارة","","","","الزراعى - بجوار مستشفى الكلى ( الدور الارضى )","1271087776","م / خالد تبع البربرى",""
"1942","ميناء اسكندرية الجيش","E337M121129","MP2501","يحيي","زيارة","","","","داخل الميناء -- الجيش","01095449928","احمد البرعى",""
